GraphID,NumNodes,NumEdges,MaxPossibleEdges,DensityCategory,DensityValue,MatrixCreationTime_ms,ListCreationTime_ms,AvgMatrixBFSTime_ms,AvgListBFSTime_ms,Algorithm
g_bfs_10_Sparse_1,10,9,45,Sparse,0.2,0.1306670001213206,0.0038750004023313522,0.006624999878113158,0.001166400033980608,BFS
g_bfs_10_Sparse_2,10,9,45,Sparse,0.2,0.02058400059468113,0.002208000296377577,0.003516800279612653,0.0005669997335644439,BFS
g_bfs_10_Sparse_3,10,9,45,Sparse,0.2,0.01654199877521023,0.0020829993445659056,0.006416999895009212,0.0008586004696553573,BFS
g_bfs_10_Sparse_4,10,9,45,Sparse,0.2,0.010957999620586634,0.0014590004866477102,0.0050749993533827364,0.0007252001523738727,BFS
g_bfs_10_Sparse_5,10,9,45,Sparse,0.2,0.014166998880682513,0.001791999238776043,0.005750000127591193,0.0008079998224275187,BFS
g_bfs_10_Medium_1,10,11,45,Medium,0.24444444444444444,0.013917000615037978,0.001708000127109699,0.006633199882344343,0.001274600435863249,BFS
g_bfs_10_Medium_2,10,11,45,Medium,0.24444444444444444,0.013709000995731913,0.002083001163555309,0.0062003997300053015,0.0008084000000962988,BFS
g_bfs_10_Medium_3,10,11,45,Medium,0.24444444444444444,0.013582999599748291,0.001541999154142104,0.006858200140413828,0.0009667997801443562,BFS
g_bfs_10_Medium_4,10,11,45,Medium,0.24444444444444444,0.012832999345846474,0.001999998858082108,0.006257999484660104,0.00088319975475315,BFS
g_bfs_10_Medium_5,10,11,45,Medium,0.24444444444444444,0.01049999991664663,0.0014159995771478862,0.006974799543968402,0.0009914005204336718,BFS
g_bfs_10_Dense_1,10,27,45,Dense,0.6,0.01929199970618356,0.002208000296377577,0.007066200123517774,0.0012082004104740918,BFS
g_bfs_10_Dense_2,10,27,45,Dense,0.6,0.015624998923158273,0.0015410005289595574,0.007316399933188222,0.0012583997886395082,BFS
g_bfs_10_Dense_3,10,27,45,Dense,0.6,0.018374999854131602,0.002165999831049703,0.007741599984001368,0.0010668005415936932,BFS
g_bfs_10_Dense_4,10,27,45,Dense,0.6,0.012500000593718141,0.001333999534836039,0.006558400491485372,0.0010581999958958477,BFS
g_bfs_10_Dense_5,10,27,45,Dense,0.6,0.014040999303688295,0.00145800004247576,0.006725000275764614,0.0010833999112946913,BFS
g_bfs_50_Sparse_1,50,61,1225,Sparse,0.04979591836734694,0.03095800093433354,0.005416999556473456,0.11964959994656965,0.0037750003684777766,BFS
g_bfs_50_Sparse_2,50,61,1225,Sparse,0.04979591836734694,0.02954199953819625,0.0056249991757795215,0.12962519977008924,0.004283200178178959,BFS
g_bfs_50_Sparse_3,50,61,1225,Sparse,0.04979591836734694,0.03149999974993989,0.005959000191069208,0.0032411997381132096,0.00021700034267269075,BFS
g_bfs_50_Sparse_4,50,61,1225,Sparse,0.04979591836734694,0.03258399920014199,0.006082998879719526,0.13427480043901596,0.00410839966207277,BFS
g_bfs_50_Sparse_5,50,61,1225,Sparse,0.04979591836734694,0.03204099994036369,0.006374999429681338,0.12758320044667926,0.004133400216232985,BFS
g_bfs_50_Medium_1,50,306,1225,Medium,0.24979591836734694,0.1155419995484408,0.009250001312466338,0.14730820003023837,0.007941799776745029,BFS
g_bfs_50_Medium_2,50,306,1225,Medium,0.24979591836734694,0.19874999998137355,0.009332999979960732,0.17795019957702607,0.008899800377548672,BFS
g_bfs_50_Medium_3,50,306,1225,Medium,0.24979591836734694,0.11041700054192916,0.009749999662744813,0.14631699996243697,0.006741600373061374,BFS
g_bfs_50_Medium_4,50,306,1225,Medium,0.24979591836734694,0.08458299998892471,0.00654099858365953,0.14552480024576653,0.006716399730066769,BFS
g_bfs_50_Medium_5,50,306,1225,Medium,0.24979591836734694,0.08166699990397319,0.0065829990489874035,0.13598320001619868,0.006708399814669974,BFS
g_bfs_50_Dense_1,50,735,1225,Dense,0.6,0.17358299919578712,0.008582999726058915,0.1401418005116284,0.02049999966402538,BFS
g_bfs_50_Dense_2,50,735,1225,Dense,0.6,0.17599999955564272,0.008957998943515122,0.14352479956869502,0.011283200365141965,BFS
g_bfs_50_Dense_3,50,735,1225,Dense,0.6,0.18829099826689344,0.009792000128072686,0.15873340016696602,0.01734160068735946,BFS
g_bfs_50_Dense_4,50,735,1225,Dense,0.6,0.16908300131035503,0.06866700095997658,0.13911660062149167,0.011183000242454,BFS
g_bfs_50_Dense_5,50,735,1225,Dense,0.6,0.16720799976610579,0.008667000656714663,0.14178340061334893,0.01150819989561569,BFS
g_bfs_100_Sparse_1,100,247,4950,Sparse,0.0498989898989899,0.08062500091909897,0.01300000076298602,0.5295999999361811,0.009650200081523508,BFS
g_bfs_100_Sparse_2,100,247,4950,Sparse,0.0498989898989899,0.08370900104637258,0.012833999790018424,0.5076582005131058,0.009325200517196208,BFS
g_bfs_100_Sparse_3,100,247,4950,Sparse,0.0498989898989899,0.07887500032666139,0.011124999218736775,0.52758320052817,0.010316400221199729,BFS
g_bfs_100_Sparse_4,100,247,4950,Sparse,0.0498989898989899,0.079250001363107,0.010708001354942098,0.5365667999285506,0.010400000610388815,BFS
g_bfs_100_Sparse_5,100,247,4950,Sparse,0.0498989898989899,0.09454199971514754,0.017209000361617655,0.5969663994619623,0.009783200221136212,BFS
g_bfs_100_Medium_1,100,1237,4950,Medium,0.2498989898989899,0.2972090005641803,0.016040999980759807,0.5563998001889559,0.019999999858555384,BFS
g_bfs_100_Medium_2,100,1237,4950,Medium,0.2498989898989899,0.28612499954761006,0.017333999494439922,0.5565497998759383,0.02028339986281935,BFS
g_bfs_100_Medium_3,100,1237,4950,Medium,0.2498989898989899,0.27679200138663873,0.015583000276819803,0.5146417996002128,0.02085839987557847,BFS
g_bfs_100_Medium_4,100,1237,4950,Medium,0.2498989898989899,0.32941700010269415,0.015416000678669661,0.5651417995977681,0.020049800150445662,BFS
g_bfs_100_Medium_5,100,1237,4950,Medium,0.2498989898989899,0.28249999922991265,0.01887500002339948,0.5336331996659283,0.02110819950758014,BFS
g_bfs_100_Dense_1,100,2970,4950,Dense,0.6,0.7042500001261942,0.032666999686625786,0.5637080001179129,0.03967480006394908,BFS
g_bfs_100_Dense_2,100,2970,4950,Dense,0.6,0.6705840005452046,0.02658300036273431,0.56932519946713,0.042333600140409544,BFS
g_bfs_100_Dense_3,100,2970,4950,Dense,0.6,0.6809589995100396,0.02845800008799415,0.5578582000453025,0.042858399683609605,BFS
g_bfs_100_Dense_4,100,2970,4950,Dense,0.6,0.6600420001632301,0.024666998797329143,0.540375000127824,0.042624999696272425,BFS
g_bfs_100_Dense_5,100,2970,4950,Dense,0.6,0.6420839999918826,0.027374999262974598,0.6287832002271898,0.050616600856301375,BFS
g_bfs_200_Sparse_1,200,995,19900,Sparse,0.05,0.26500000058149453,0.02554200000304263,2.104091599903768,0.02597519924165681,BFS
g_bfs_200_Sparse_2,200,995,19900,Sparse,0.05,0.2517080010875361,0.02808399949572049,2.089325000270037,0.028058199677616358,BFS
g_bfs_200_Sparse_3,200,995,19900,Sparse,0.05,0.2704580001591239,0.029457998607540503,2.1416499996121274,0.02579159954620991,BFS
g_bfs_200_Sparse_4,200,995,19900,Sparse,0.05,0.28037499942001887,0.06600000051548705,2.119166599732125,0.027074800163973123,BFS
g_bfs_200_Sparse_5,200,995,19900,Sparse,0.05,0.27379200037103146,0.030666000384371728,2.096608199281036,0.027050199787481688,BFS
g_bfs_200_Medium_1,200,4975,19900,Medium,0.25,1.0741660007624887,0.04766600068251137,2.1680167999875266,0.07345840022026096,BFS
g_bfs_200_Medium_2,200,4975,19900,Medium,0.25,1.163667000582791,0.0497920009365771,2.163533400016604,0.07278340017364826,BFS
g_bfs_200_Medium_3,200,4975,19900,Medium,0.25,1.124750000599306,0.045917000534245744,2.132991799589945,0.07384159980574623,BFS
g_bfs_200_Medium_4,200,4975,19900,Medium,0.25,1.1343749993102392,0.04495899884204846,2.1701999998185784,0.0719331994332606,BFS
g_bfs_200_Medium_5,200,4975,19900,Medium,0.25,1.1216670009162044,0.04570900091493968,2.1835915995325195,0.07014980037638452,BFS
g_bfs_200_Dense_1,200,11940,19900,Dense,0.6,2.575667000201065,0.08270800026366487,2.190016600434319,0.1685334002104355,BFS
g_bfs_200_Dense_2,200,11940,19900,Dense,0.6,2.50758299989684,0.06604199916182552,2.274241800478194,0.15921679987513926,BFS
g_bfs_200_Dense_3,200,11940,19900,Dense,0.6,2.9147920013201656,0.08499999967170879,2.228874799766345,0.15996680012904108,BFS
g_bfs_200_Dense_4,200,11940,19900,Dense,0.6,2.6408749999973224,0.06600000051548705,2.333382999859168,0.1628415997402044,BFS
g_bfs_200_Dense_5,200,11940,19900,Dense,0.6,2.530542000386049,0.06858300002932083,2.3141836009017425,0.16150839946931228,BFS
